X Y Z
124.844000 48.213700 2.000000
124.777000 48.207500 2.000000
124.711000 48.201200 2.000000
124.645000 48.194900 2.000000
124.578000 48.188700 2.000000
124.512000 48.182400 2.000000
124.445000 48.176100 2.000000
124.379000 48.169900 2.000000
124.313000 48.163600 2.000000
124.246000 48.157300 2.000000
124.180000 48.151100 2.000000
124.114000 48.144800 2.000000
124.047000 48.138600 2.000000
123.981000 48.132300 2.000000
123.914000 48.126100 2.000000
123.848000 48.119800 2.000000
123.782000 48.113600 2.000000
123.715000 48.107300 2.000000
123.649000 48.101100 2.000000
123.583000 48.094900 2.000000
123.516000 48.088600 2.000000
123.450000 48.082400 2.000000
123.383000 48.076200 2.000000
123.317000 48.070000 2.000000
123.251000 48.063700 2.000000
123.184000 48.057500 2.000000
123.118000 48.051300 2.000000
123.052000 48.045100 2.000000
122.985000 48.038900 2.000000
122.919000 48.032700 2.000000
122.852000 48.026600 2.000000
122.786000 48.020400 2.000000
122.720000 48.014200 2.000000
122.653000 48.008000 2.000000
122.587000 48.001900 2.000000
122.521000 47.995700 2.000000
122.454000 47.989600 2.000000
122.388000 47.983400 2.000000
122.321000 47.977300 2.000000
122.255000 47.971100 2.000000
122.189000 47.965000 2.000000
122.122000 47.958900 2.000000
122.056000 47.952800 2.000000
121.989000 47.946700 2.000000
121.923000 47.940600 2.000000
121.857000 47.934500 2.000000
121.790000 47.928400 2.000000
121.724000 47.922400 2.000000
121.657000 47.916300 2.000000
121.591000 47.910300 2.000000
121.525000 47.904200 2.000000
121.458000 47.898200 2.000000
121.392000 47.892100 2.000000
121.326000 47.886100 2.000000
121.259000 47.880100 2.000000
121.193000 47.874100 2.000000
121.126000 47.868100 2.000000
121.060000 47.862200 2.000000
120.994000 47.856200 2.000000
120.927000 47.850200 2.000000
120.861000 47.844300 2.000000
120.794000 47.838400 2.000000
120.728000 47.832400 2.000000
120.662000 47.826500 2.000000
120.595000 47.820600 2.000000
120.529000 47.814700 2.000000
120.462000 47.808900 2.000000
120.396000 47.803000 2.000000
120.329000 47.797100 2.000000
120.263000 47.791300 2.000000
120.197000 47.785500 2.000000
120.130000 47.779600 2.000000
120.064000 47.773800 2.000000
119.997000 47.768000 2.000000
119.931000 47.762300 2.000000
119.865000 47.756500 2.000000
119.798000 47.750700 2.000000
119.732000 47.745000 2.000000
119.665000 47.739300 2.000000
119.599000 47.733600 2.000000
119.532000 47.727900 2.000000
119.466000 47.722200 2.000000
119.400000 47.716500 2.000000
119.333000 47.710900 2.000000
119.267000 47.705200 2.000000
119.200000 47.699600 2.000000
119.134000 47.694000 2.000000
119.067000 47.688400 2.000000
119.001000 47.682800 2.000000
118.935000 47.677300 2.000000
118.868000 47.671700 2.000000
118.802000 47.666200 2.000000
118.735000 47.660700 2.000000
118.669000 47.655200 2.000000
118.602000 47.649700 2.000000
118.536000 47.644200 2.000000
118.470000 47.638800 2.000000
118.403000 47.633400 2.000000
118.337000 47.628000 2.000000
118.270000 47.622600 2.000000
118.204000 47.617200 2.000000
118.137000 47.611800 2.000000
118.071000 47.606500 2.000000
118.004000 47.601200 2.000000
117.938000 47.595900 2.000000
117.871000 47.590600 2.000000
117.805000 47.585300 2.000000
117.739000 47.580000 2.000000
117.672000 47.574800 2.000000
117.606000 47.569600 2.000000
117.539000 47.564400 2.000000
117.473000 47.559200 2.000000
117.406000 47.554100 2.000000
117.340000 47.549000 2.000000
